local_time,arrival_time_monotonic,timestamp_ms,role,role_label,mac_address,foot_id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
2026-04-02 13:03:44.218,1963.224918357,1775106224218,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,216,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:44.248,1963.254383349,1775106224248,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,1741,0,0,0,0,0,2454,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:44.278,1963.284160966,1775106224278,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,5549,0,0,0,0,0,6214,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:44.518,1963.524380788,1775106224518,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,7866,0,0,0,0,0,9169,0,1107,0,0,0,1576,235,0,0
2026-04-02 13:03:44.518,1963.524485849,1775106224518,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,8252,0,0,0,0,0,9601,0,1639,0,0,0,1937,753,0,0
2026-04-02 13:03:44.548,1963.554293317,1775106224548,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,7700,0,0,0,0,0,9139,0,1823,290,0,0,5610,894,0,0
2026-04-02 13:03:44.548,1963.554420367,1775106224548,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,7000,0,0,0,0,0,8329,0,1916,658,0,0,5627,864,0,0
2026-04-02 13:03:44.548,1963.554473373,1775106224548,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,5814,0,0,74,0,210,7015,0,2010,1211,0,0,5545,1205,0,0
2026-04-02 13:03:44.578,1963.584445894,1775106224578,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,4856,0,0,604,0,530,5974,0,2348,1864,0,0,5946,1686,0,0
2026-04-02 13:03:44.758,1963.764264231,1775106224758,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,4189,0,157,1087,0,814,5063,0,2631,2370,0,0,6153,2112,0,0
2026-04-02 13:03:44.758,1963.764365228,1775106224758,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,3474,1548,0,2122,0,1344,4188,1777,0,3731,0,0,0,2846,0,0
2026-04-02 13:03:44.758,1963.764391514,1775106224758,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,2727,795,0,2486,0,2244,3301,918,0,4191,0,544,0,3070,0,449
2026-04-02 13:03:44.818,1963.82438231,1775106224818,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,2268,0,0,1717,2229,1481,2830,87,0,3112,3757,0,0,2203,2914,0
2026-04-02 13:03:44.848,1963.854477793,1775106224848,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,1770,0,0,697,2752,2674,2361,0,0,1293,3845,0,0,785,2593,0
2026-04-02 13:03:44.939,1963.94532966,1775106224939,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,1174,0,0,0,2061,3313,2013,0,0,0,2137,0,0,0,989,0
2026-04-02 13:03:44.939,1963.945458788,1775106224939,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,841,0,0,0,877,2078,1485,0,0,0,660,0,0,0,0,0
2026-04-02 13:03:44.998,1964.004509485,1775106224998,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,546,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.088,1964.094421328,1775106225088,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,475,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.118,1964.124450565,1775106225118,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,412,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.178,1964.184333962,1775106225178,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,446,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.358,1964.36428618,1775106225358,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,392,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.358,1964.364361959,1775106225358,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,435,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.358,1964.364412122,1775106225358,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,441,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.448,1964.454453392,1775106225448,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,406,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.448,1964.45452861,1775106225448,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,322,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.478,1964.484419768,1775106225478,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,445,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.538,1964.544402718,1775106225538,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,3697,0,0,0,0,0,3724,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.568,1964.574327151,1775106225568,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,6393,0,0,0,0,0,7424,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:45.628,1964.63432643,1775106225628,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,8339,0,0,0,0,0,9809,0,1438,0,0,0,1798,399,0,0
2026-04-02 13:03:45.720,1964.726983103,1775106225720,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,8633,0,0,0,0,0,9834,0,2088,222,0,0,1886,715,0,0
2026-04-02 13:03:45.720,1964.727064307,1775106225720,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,7104,0,0,0,0,64,8391,0,2233,871,0,0,1857,799,0,0
2026-04-02 13:03:45.808,1964.814556127,1775106225808,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,5777,0,4,115,0,339,6825,0,2060,1327,0,0,1611,853,0,0
2026-04-02 13:03:45.958,1964.964281263,1775106225958,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,4664,0,132,565,0,775,5561,0,2119,1539,0,0,5540,1123,0,0
2026-04-02 13:03:45.958,1964.964370117,1775106225958,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,4209,0,61,1004,0,1116,4939,0,2070,1980,0,0,1321,1228,0,0
2026-04-02 13:03:46.018,1965.024500893,1775106226018,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,3476,1447,0,1983,0,1778,3924,1381,0,2970,0,0,0,1900,0,0
2026-04-02 13:03:46.018,1965.024591331,1775106226018,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,2813,840,0,2419,0,2533,3178,688,0,3304,0,435,0,2116,0,0
2026-04-02 13:03:46.078,1965.084250265,1775106226078,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,2201,0,0,1832,2227,1990,2612,0,0,2467,3072,0,0,1475,1840,0
2026-04-02 13:03:46.108,1965.114510669,1775106226108,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,1680,0,0,702,2896,3028,2172,0,0,1031,3353,0,0,281,1672,0
2026-04-02 13:03:46.168,1965.174553368,1775106226168,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,1392,0,0,0,2632,3458,1872,0,0,0,2652,0,0,0,1274,0
2026-04-02 13:03:46.198,1965.204428529,1775106226198,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,963,0,0,0,1459,3184,1512,0,0,0,949,0,0,0,0,0
2026-04-02 13:03:46.288,1965.294372439,1775106226288,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,821,0,0,0,385,1293,1071,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.288,1965.294456626,1775106226288,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,438,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.348,1965.354462963,1775106226348,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,447,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.409,1965.415287253,1775106226409,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,434,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.468,1965.474545316,1775106226468,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,517,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.528,1965.534279587,1775106226528,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,498,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.588,1965.594494889,1775106226588,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,535,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.618,1965.624521699,1775106226618,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,470,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.708,1965.714319969,1775106226708,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,424,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.708,1965.71441146,1775106226708,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,475,0,0,0,0,0,1242,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.798,1965.804568055,1775106226798,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,3903,0,0,0,0,0,4083,0,0,0,0,0,0,0,0,0
2026-04-02 13:03:46.889,1965.895274874,1775106226889,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,8459,0,0,0,0,0,9838,0,309,0,0,0,264,0,0,0
2026-04-02 13:03:46.889,1965.895351916,1775106226889,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,9512,0,0,0,0,0,10699,0,1786,0,0,0,4710,392,0,0
2026-04-02 13:03:46.918,1965.924446284,1775106226918,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,9283,0,0,0,0,0,10381,0,1734,67,0,0,1485,367,0,0
2026-04-02 13:03:47.038,1966.044335736,1775106227038,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,8519,0,0,0,0,0,9611,0,1754,239,0,0,1417,390,0,0
2026-04-02 13:03:47.038,1966.044422073,1775106227038,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,7214,0,0,0,0,0,8098,0,1840,693,0,0,1333,519,0,0
2026-04-02 13:03:47.068,1966.074511445,1775106227068,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,5898,0,18,492,0,205,6724,0,1990,1390,0,0,4555,836,0,0
2026-04-02 13:03:47.188,1966.194339939,1775106227188,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,5169,0,388,828,0,589,5782,0,2288,1858,0,0,5319,1223,0,0
2026-04-02 13:03:47.188,1966.194417672,1775106227188,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,4122,0,0,2602,0,1388,4340,0,0,3674,0,0,0,2338,0,0
2026-04-02 13:03:47.248,1966.254550536,1775106227248,left_insole,左鞋垫,FF:25:02:05:1A:4B,1,0,0,3691,1376,0,2533,0,1658,3919,1428,0,3713,0,0,0,2623,0,0
