timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
183915083,0.637166629329075,0.637166629329075,0.4262608289718628,-0.3534432351589203,-0.4120779037475586,1,0.6371666587130581,0.6371666587130581,0.426260769367218,-0.3534432053565979,-0.41207802295684814,1,2.9383983135566893e-08,2.9383983135566893e-06,2.9383983135566893e-06
183948417,0.6513732990570362,0.6370982468978654,0.4262000918388366,-0.3536176681518554,-0.4119229912757873,2,0.6513733214871441,0.63709828954962,0.42619988322257996,-0.3536175787448883,-0.4119231104850769,2,2.2430107882165373e-08,2.2430107882165373e-06,2.2430107882165373e-06
183981751,0.6655779760030405,0.6371973785442386,0.4261403083801269,-0.3532033264636993,-0.4119592308998108,3,0.6655779984331484,0.6371973965587878,0.42614030838012695,-0.35320329666137695,-0.41195929050445557,3,2.2430107882165373e-08,2.2430107882165373e-06,2.2430107882165373e-06
184015085,0.6797822883673008,0.6370228928750021,0.4261293709278106,-0.353665292263031,-0.4115840196609497,4,0.6797823078171765,0.6370229071657331,0.4261292815208435,-0.35366538166999817,-0.41158419847488403,4,1.9449875710009223e-08,1.9449875710009223e-06,1.9449875710009223e-06
184048419,0.6939889402138686,0.6369409822782544,0.4261995553970337,-0.3536696135997772,-0.4111607670783996,5,0.6939889596637443,0.6369409890492346,0.4261995553970337,-0.35366976261138916,-0.41116097569465637,5,1.9449875710009223e-08,1.9449875710009223e-06,1.9449875710009223e-06
184081753,0.708191427682588,0.6368293713745699,0.4260746240615845,-0.353853315114975,-0.410791277885437,6,0.708191446139053,0.636829296428806,0.4260745942592621,-0.3538535237312317,-0.4107911288738251,6,1.8456465022964608e-08,1.8456465022964608e-06,1.8456465022964608e-06
184115087,0.7223951459872221,0.6369788308612959,0.4261115491390228,-0.3536403477191925,-0.4113245606422424,7,0.7223951654370979,0.6369787920087868,0.4261115789413452,-0.35364049673080444,-0.41132453083992004,7,1.9449875821031526e-08,1.9449875821031526e-06,1.9449875821031526e-06
184148421,0.7365959257828688,0.6367761031846805,0.4260233938694,-0.3540718257427215,-0.4107668399810791,8,0.7365959472195661,0.6367762123738238,0.4260234534740448,-0.35407161712646484,-0.41076716780662537,8,2.143669730614306e-08,2.143669730614306e-06,2.143669730614306e-06
184181755,0.750793712431937,0.6366339231027974,0.4259335994720459,-0.3543598651885986,-0.4103591442108154,9,0.750793734862045,0.6366339402557759,0.4259336292743683,-0.35435986518859863,-0.4103592336177826,9,2.2430107993187676e-08,2.2430107993187676e-06,2.2430107993187676e-06
184215089,0.7649925540832178,0.6365882136494394,0.4259652495384216,-0.3545153141021728,-0.4103008806705475,10,0.764992579493558,0.6365881823549084,0.4259653389453888,-0.35451540350914,-0.4103008210659027,10,2.5410340276366128e-08,2.541034027636613e-06,2.541034027636613e-06
184248423,0.7791870783713952,0.63653705106314,0.4258357286453247,-0.354366272687912,-0.4098619818687439,11,0.7791871067619678,0.6365370136737868,0.42583581805229187,-0.3543661832809448,-0.40986168384552,11,2.839057255954458e-08,2.839057255954458e-06,2.839057255954458e-06
184281757,0.7933770518449441,0.6363559872735127,0.4256992042064667,-0.3547172248363495,-0.4093257486820221,12,0.7933770772552844,0.6363559524181741,0.4256991147994995,-0.3547174334526062,-0.40932580828666687,12,2.5410340276366128e-08,2.541034027636613e-06,2.541034027636613e-06
184315091,0.8075697095143294,0.6365285863217691,0.4257797300815582,-0.3543131947517395,-0.4097565412521362,13,0.8075697369114911,0.6365285218804168,0.425779789686203,-0.3543134331703186,-0.40975648164749146,13,2.7397161761477662e-08,2.739716176147766e-06,2.739716176147766e-06
184348425,0.8217591803220406,0.6363164880180727,0.4256841242313385,-0.3546232581138611,-0.4090121686458587,14,0.8217592087126132,0.6363165052375115,0.4256841540336609,-0.3546232581138611,-0.4090122580528259,14,2.839057255954458e-08,2.839057255954458e-06,2.839057255954458e-06
184381759,0.8359445592708881,0.6363184831826987,0.4255613684654236,-0.3547305762767792,-0.4091463088989258,15,0.8359445866680499,0.6363185251084645,0.4255613386631012,-0.3547305166721344,-0.4091464579105377,15,2.7397161872499964e-08,2.7397161872499964e-06,2.7397161872499964e-06
184415093,0.8501285146621361,0.6362794653020646,0.425518661737442,-0.3548247814178467,-0.409052312374115,16,0.8501285440461195,0.6362794463288042,0.4255187213420868,-0.35482484102249146,-0.4090522825717926,16,2.93839833576115e-08,2.93839833576115e-06,2.93839833576115e-06
184448427,0.8643124929018313,0.6362429364291791,0.4255193471908569,-0.3545480072498321,-0.4085437655448913,17,0.8643125193055825,0.6362429081890151,0.42551925778388977,-0.3545481860637665,-0.40854382514953613,17,2.640375118545535e-08,2.640375118545535e-06,2.640375118545535e-06
184481761,0.8784965973046913,0.6362076831097861,0.4255231320858001,-0.35469850897789,-0.4085343480110168,18,0.8784966247018533,0.6362076261467358,0.42552316188812256,-0.35469868779182434,-0.4085342586040497,18,2.7397161983522267e-08,2.7397161983522267e-06,2.7397161983522267e-06
184515095,0.8926778516121203,0.6361029117337549,0.4254376292228699,-0.354861706495285,-0.408179223537445,19,0.8926778790092823,0.6361029471205324,0.4254376292228699,-0.35486167669296265,-0.408179372549057,19,2.7397161983522267e-08,2.7397161983522267e-06,2.7397161983522267e-06
184548429,0.9068549047855032,0.6359451394755344,0.4253115952014923,-0.3554520606994629,-0.4080406427383423,20,0.9068549292024332,0.6359451599492375,0.42531150579452515,-0.35545215010643005,-0.408040851354599,20,2.441692992238842e-08,2.441692992238842e-06,2.441692992238842e-06
184581763,0.9210354080744082,0.6358750508706061,0.4254150986671448,-0.3554443120956421,-0.4076691269874573,21,0.921035428517695,0.6358751010458968,0.4254149794578552,-0.35544437170028687,-0.40766945481300354,21,2.044328684114305e-08,2.044328684114305e-06,2.044328684114305e-06
184615097,0.9352155020780856,0.6359219994709213,0.425402820110321,-0.3552355468273163,-0.4076724052429199,22,0.9352155225213724,0.6359219738682305,0.42540282011032104,-0.35523563623428345,-0.40767237544059753,22,2.044328684114305e-08,2.044328684114305e-06,2.044328684114305e-06
184648431,0.949392538363486,0.6357958130587225,0.4253110885620117,-0.3556185066699981,-0.4074591994285583,23,0.9493925568199513,0.6357958615986234,0.42531102895736694,-0.3556186258792877,-0.4074595868587494,23,1.8456465245009213e-08,1.8456465245009213e-06,1.8456465245009213e-06
184681765,0.963569849823663,0.6358269075769591,0.4253193438053131,-0.3553731143474579,-0.4073386490345001,24,0.9635698702669498,0.6358269174266888,0.4253194034099579,-0.35537317395210266,-0.4073387682437897,24,2.044328684114305e-08,2.044328684114305e-06,2.044328684114305e-06
184715099,0.9777446946449572,0.6358005311259052,0.4252453446388244,-0.3552864193916321,-0.4071030616760254,25,0.9777447160816547,0.6358005162147431,0.42524537444114685,-0.35528653860092163,-0.40710312128067017,25,2.1436697528187665e-08,2.1436697528187665e-06,2.1436697528187665e-06
184748433,0.991912231936802,0.6356778905472115,0.4250261187553406,-0.3558025360107422,-0.4070608615875244,26,0.9919122503932671,0.6356778905472115,0.4250260293483734,-0.3558025360107422,-0.4070608615875244,26,1.845646513398691e-08,1.845646513398691e-06,1.845646513398691e-06
184781767,0.0060803801762554,0.6357452528234289,0.425044447183609,-0.3554746806621551,-0.4070333242416382,27,0.006080398632720696,0.6357452825283108,0.425044447183609,-0.35547465085983276,-0.40703344345092773,27,1.8456465245009213e-08,1.8456465245009213e-06,1.8456465245009213e-06
184815101,0.0202483704634004,0.635564818478261,0.4250397086143493,-0.355842262506485,-0.4065230786800384,28,0.020248386933044184,0.635564814360394,0.4250396490097046,-0.3558424115180969,-0.4065232276916504,28,1.646964375989768e-08,1.6469643759897679e-06,1.6469643759897679e-06
184848435,0.0344154209839794,0.6355790171796853,0.4250115156173706,-0.3558224737644195,-0.4065736532211303,29,0.03441543347998022,0.6355790204874152,0.42501139640808105,-0.3558225631713867,-0.4065737724304199,29,1.249600078967461e-08,1.249600078967461e-06,1.249600078967461e-06
184881769,0.0485824854123089,0.6353540600311074,0.425011932849884,-0.3559428751468658,-0.4055531322956085,30,0.04858249890172043,0.6353540336049949,0.4250119626522064,-0.3559429943561554,-0.4055531322956085,30,1.3489411587741529e-08,1.3489411587741529e-06,1.3489411587741529e-06
184915103,0.0627457748798026,0.6352983719343164,0.4248986840248108,-0.3561377823352813,-0.4054889380931854,31,0.06274578936262487,0.6352983242762722,0.4248987138271332,-0.3561382591724396,-0.4054892361164093,31,1.4482822274786145e-08,1.4482822274786145e-06,1.4482822274786145e-06
184948437,0.0769105425424867,0.6354494970457685,0.4249430298805237,-0.3558877110481262,-0.4059810638427734,32,0.076910557025309,0.6354494234737911,0.4249430298805237,-0.35588786005973816,-0.4059808552265167,32,1.4482822274786145e-08,1.4482822274786145e-06,1.4482822274786145e-06
184981771,0.0910711110579464,0.635221631786616,0.4248170554637909,-0.3564003705978393,-0.4053935110569,33,0.09107112653417944,0.6352215525929359,0.4248170852661133,-0.356400728225708,-0.4053935110569,33,1.5476233072853063e-08,1.5476233072853063e-06,1.5476233072853063e-06
185015105,0.1052302282003058,0.6351469325974086,0.4247735142707824,-0.3566252291202545,-0.4052655398845672,34,0.10523024367653885,0.6351469814079441,0.42477351427078247,-0.35662513971328735,-0.4052656888961792,34,1.5476233072853063e-08,1.5476233072853063e-06,1.5476233072853063e-06
185048439,0.1193863134530676,0.635048280355037,0.4246825575828552,-0.3566537201404571,-0.4047917127609253,35,0.11938633091612219,0.6350483156916136,0.4246826171875,-0.35665348172187805,-0.40479162335395813,35,1.7463054557964597e-08,1.7463054557964597e-06,1.7463054557964597e-06
185081773,0.133542999719331,0.6350436125626695,0.4247005879878998,-0.3564339280128479,-0.4045183360576629,36,0.1335430171823855,0.6350435694959291,0.4247005879878998,-0.35643401741981506,-0.4045182168483734,36,1.7463054557964597e-08,1.7463054557964597e-06,1.7463054557964597e-06
185115107,0.1476957600263251,0.6350070427376638,0.4245828092098236,-0.3566949665546417,-0.404627114534378,37,0.14769577649596888,0.6350071668496466,0.4245827794075012,-0.35669466853141785,-0.40462741255760193,37,1.646964375989768e-08,1.6469643759897679e-06,1.6469643759897679e-06
185148441,0.168925933137287,0.634980328798769,0.4246034622192383,-0.3565886914730072,-0.4043697118759155,38,0.16892595258716303,0.6349803668306442,0.42460352182388306,-0.35658857226371765,-0.4043697714805603,38,1.944987604307613e-08,1.944987604307613e-06,1.944987604307613e-06
185181775,0.1901552986053122,0.6348382370500643,0.4245873093605041,-0.3568989038467407,-0.4039938449859619,39,0.19015531805518823,0.6348383371775579,0.42458730936050415,-0.35689863562583923,-0.40399405360221863,39,1.944987604307613e-08,1.944987604307613e-06,1.944987604307613e-06
185215109,0.211383011534561,0.634939047547427,0.4245542585849762,-0.3567547500133514,-0.4043465554714203,40,0.21138303098443706,0.6349390921660698,0.4245542585849762,-0.3567546010017395,-0.40434661507606506,40,1.944987604307613e-08,1.944987604307613e-06,1.944987604307613e-06
185248443,0.2326110806015624,0.6348670110465959,0.4245613813400268,-0.3566829264163971,-0.4038965106010437,41,0.23261109856132228,0.6348670797679961,0.42456135153770447,-0.35668274760246277,-0.40389665961265564,41,1.7959759901486905e-08,1.7959759901486905e-06,1.7959759901486905e-06
185281777,0.2538328688291205,0.6348314352503228,0.4244357645511627,-0.3569516837596893,-0.4040187895298004,42,0.2538328852987643,0.6348314628404234,0.42443573474884033,-0.3569517433643341,-0.40401899814605713,42,1.646964387091998e-08,1.646964387091998e-06,1.646964387091998e-06
185315111,0.2750547315624846,0.6348261826147554,0.4244372546672821,-0.3567645847797394,-0.4037801623344421,43,0.27505474505189614,0.634826103000244,0.42443719506263733,-0.3567647337913513,-0.40377992391586304,43,1.3489411587741529e-08,1.3489411587741529e-06,1.3489411587741529e-06
185348445,0.2962740566280974,0.6347557361471483,0.4243865013122558,-0.3569489419460296,-0.4036286175251007,44,0.29627407160762503,0.6347556821376439,0.42438653111457825,-0.35694900155067444,-0.403628408908844,44,1.4979527618308452e-08,1.4979527618308452e-06,1.4979527618308452e-06
185381779,0.3174878146198882,0.6346907998130351,0.4242751598358154,-0.357079803943634,-0.403444766998291,45,0.317487832579648,0.6346907523767954,0.4242752194404602,-0.3570798337459564,-0.4034445583820343,45,1.7959759901486905e-08,1.7959759901486905e-06,1.7959759901486905e-06
185415113,0.3387061621693267,0.6346664902342452,0.4243669509887695,-0.3572095036506653,-0.4034671187400818,46,0.3387061786389704,0.6346665092495661,0.42436692118644714,-0.3572094440460205,-0.4034671485424042,46,1.6469643648875376e-08,1.6469643648875376e-06,1.6469643648875376e-06
185448447,0.3599224503782882,0.6346413605859438,0.4243257641792297,-0.357242077589035,-0.4033755660057068,47,0.3599224698281641,0.6346413430771336,0.4243258237838745,-0.35724207758903503,-0.4033754765987396,47,1.944987593205383e-08,1.944987593205383e-06,1.944987593205383e-06
185481781,0.3811383824494971,0.6346968244371729,0.4243186414241791,-0.357098251581192,-0.4034963846206665,48,0.3811384018993731,0.6346967623068155,0.4243186414241791,-0.35709840059280396,-0.40349623560905457,48,1.944987593205383e-08,1.944987593205383e-06,1.944987593205383e-06
185515115,0.4023557331112518,0.6346325629221938,0.4243470132350921,-0.3572964370250702,-0.4033920168876648,49,0.4023557495808955,0.6346325811834514,0.4243469536304474,-0.3572964072227478,-0.40339207649230957,49,1.6469643648875376e-08,1.6469643648875376e-06,1.6469643648875376e-06
185548449,0.4235713746098175,0.6345683740490511,0.4243128299713135,-0.357323557138443,-0.4030949771404266,50,0.42357139256957727,0.6345683843792462,0.42431285977363586,-0.35732337832450867,-0.4030948281288147,50,1.7959759790464602e-08,1.7959759790464602e-06,1.7959759790464602e-06
185581783,0.4447812836316718,0.6345457390564346,0.424198180437088,-0.357359379529953,-0.403019905090332,51,0.4447812956309672,0.6345457411663109,0.42419806122779846,-0.35735952854156494,-0.40302008390426636,51,1.199929533513e-08,1.199929533513e-06,1.199929533513e-06
185615117,0.4659902047065391,0.6345068893396262,0.4241784214973449,-0.3573164939880371,-0.4027734398841858,52,0.4659902152157183,0.6345068834934375,0.4241783916950226,-0.3573164939880371,-0.4027734100818634,52,1.0509179193540774e-08,1.0509179193540774e-06,1.0509179193540774e-06
